MS

c Randomly-generated maxsat whose corresponding MN is tripartite 
p cnf 300 1000
-223 269 -96 0
-73 149 -213 0
154 -293 -288 0
-118 263 180 0
-220 233 204 0
-286 239 210 0
127 248 213 0
73 -89 -231 0
100 -71 135 0
223 170 204 0
235 239 138 0
55 23 -144 0
232 -65 54 0
-148 -44 264 0
64 59 39 0
-166 -149 -90 0
79 -110 234 0
268 272 -114 0
-259 -29 96 0
259 -167 195 0
-250 287 108 0
-268 230 153 0
-16 -20 -183 0
-298 200 -177 0
-277 182 -30 0
79 62 45 0
-253 275 249 0
187 -41 264 0
-106 275 138 0
211 -11 -186 0
16 -212 -150 0
181 -35 258 0
-181 -272 -117 0
115 -50 -84 0
232 -137 150 0
139 98 57 0
154 8 -207 0
13 83 -234 0
-271 -86 30 0
-262 -173 -51 0
208 2 -129 0
-148 221 237 0
76 290 -27 0
46 143 285 0
-202 188 -186 0
-250 191 237 0
-208 -179 72 0
-211 -185 -102 0
7 23 -252 0
277 -218 9 0
295 -119 -33 0
-52 47 201 0
-193 158 -228 0
-151 -131 72 0
49 -245 144 0
250 29 -177 0
-244 176 -288 0
-130 23 213 0
157 -179 246 0
-289 -149 -57 0
-235 236 51 0
-163 164 -144 0
124 -278 -300 0
-235 -221 -33 0
-214 92 -294 0
268 164 51 0
163 -89 75 0
-1 -146 45 0
-172 209 -36 0
-88 -188 153 0
-262 -248 -216 0
220 -293 132 0
-229 185 21 0
127 83 264 0
-226 155 159 0
274 -287 156 0
169 53 -159 0
-256 -242 114 0
241 50 78 0
-142 -128 -165 0
217 -14 -192 0
241 -137 129 0
-199 -59 168 0
-16 -158 171 0
-97 -29 48 0
46 -5 -219 0
118 161 -165 0
-127 2 -165 0
-226 50 -36 0
289 -161 -255 0
151 194 285 0
-256 -131 171 0
229 110 -60 0
115 -89 66 0
-94 -263 6 0
-244 -116 -258 0
-4 185 216 0
-79 44 195 0
181 275 180 0
-55 -218 219 0
133 -110 -231 0
-226 -134 -21 0
-178 269 -144 0
-175 -203 -135 0
-214 -185 -45 0
121 -293 123 0
-145 293 171 0
148 -74 -30 0
-286 -17 -294 0
172 -194 -282 0
-112 -158 141 0
-55 47 -192 0
-169 161 39 0
106 26 207 0
-229 134 -168 0
-208 -179 201 0
205 -194 168 0
175 206 231 0
-214 -191 177 0
73 -290 39 0
52 116 39 0
10 -89 18 0
-193 -161 96 0
-58 107 -111 0
-205 266 -144 0
238 -44 -210 0
-136 -257 267 0
-262 77 -279 0
271 -167 -36 0
70 170 -147 0
-13 266 285 0
244 -269 192 0
94 -158 90 0
142 -95 123 0
256 29 159 0
136 -206 -81 0
-49 35 132 0
-160 -296 138 0
166 8 -156 0
97 110 198 0
-238 284 261 0
55 -35 291 0
-133 245 192 0
223 56 285 0
-178 -140 270 0
-241 155 192 0
-58 161 228 0
-43 -122 114 0
-133 116 -114 0
268 -269 72 0
250 -182 -135 0
103 113 180 0
-76 -62 36 0
52 -68 132 0
265 200 -288 0
250 -68 21 0
-22 8 -189 0
-253 125 -204 0
244 41 72 0
157 194 18 0
-214 -224 27 0
-277 77 51 0
46 269 -123 0
4 -215 93 0
-271 299 90 0
127 80 -276 0
28 95 6 0
-136 206 -228 0
-118 182 -12 0
-241 227 -63 0
103 119 198 0
-109 74 252 0
256 -170 195 0
-112 131 -48 0
187 -41 -108 0
37 -83 120 0
124 -242 297 0
-238 266 120 0
-187 -128 -183 0
-184 59 -78 0
-211 -290 -249 0
13 221 -300 0
139 185 -21 0
-181 -212 15 0
-88 38 171 0
289 164 -267 0
178 17 288 0
-28 -221 138 0
184 29 81 0
-187 -152 -162 0
-202 -56 -228 0
-274 62 207 0
-91 191 -198 0
184 -209 204 0
-133 -284 72 0
-175 143 -198 0
-25 -233 27 0
148 152 168 0
-133 95 141 0
-223 68 72 0
-208 -11 213 0
109 140 102 0
-97 179 192 0
-289 -212 -240 0
-100 -56 159 0
82 -83 -111 0
124 155 15 0
-112 -101 -27 0
70 -74 174 0
274 -98 141 0
-52 173 48 0
-178 -17 12 0
-208 77 -18 0
-94 23 -294 0
217 -191 -30 0
-292 -11 -21 0
-16 29 -27 0
-145 -281 255 0
187 134 -273 0
-280 272 -60 0
133 -281 -216 0
-130 -251 -87 0
274 -17 216 0
-178 -116 -207 0
-232 8 213 0
-91 -86 60 0
160 110 -81 0
196 233 -144 0
-124 197 69 0
25 110 198 0
-28 -188 -195 0
259 -182 -120 0
241 182 108 0
-40 -23 18 0
-34 -41 39 0
289 -89 -102 0
241 275 -273 0
-265 -212 288 0
259 -278 243 0
1 17 141 0
178 -53 81 0
-166 185 -30 0
-88 185 246 0
202 32 117 0
-235 86 -60 0
-187 -113 -96 0
-232 -110 -111 0
202 -17 -291 0
-88 257 -222 0
67 -77 9 0
226 122 -114 0
-151 -263 -273 0
19 215 -240 0
-235 -53 -108 0
130 92 -237 0
217 35 -99 0
-250 -173 24 0
-124 -158 204 0
232 41 78 0
43 77 -36 0
-262 122 30 0
208 -11 -222 0
-1 104 99 0
58 -155 93 0
229 128 171 0
-118 137 6 0
-136 41 246 0
-154 281 -123 0
259 23 -186 0
-97 -269 219 0
-121 -134 96 0
142 290 -228 0
16 158 171 0
61 131 198 0
-94 266 -144 0
253 -275 -180 0
-160 -116 -114 0
-292 -227 240 0
151 -287 -33 0
-208 -209 285 0
76 -173 -48 0
-214 65 -48 0
124 128 168 0
85 -110 135 0
-250 257 153 0
118 239 180 0
-250 293 -99 0
277 113 -165 0
-250 -194 -195 0
-193 212 -261 0
58 -236 207 0
97 32 108 0
208 -98 -300 0
127 26 252 0
133 125 -192 0
-178 110 141 0
-82 251 -114 0
10 8 -141 0
163 257 -198 0
103 167 -210 0
223 -278 42 0
-298 -149 -147 0
-244 -167 129 0
-283 257 -69 0
-94 287 135 0
-88 -194 120 0
25 -149 -210 0
190 65 -180 0
-169 275 -213 0
-79 254 285 0
262 38 -249 0
-139 47 -264 0
-91 -161 -291 0
271 104 -273 0
-37 143 249 0
247 194 -159 0
289 -101 -171 0
-166 -218 42 0
-103 119 87 0
-199 98 -180 0
-226 254 -111 0
-154 116 -36 0
163 236 117 0
52 113 -279 0
-7 263 -51 0
-115 -140 222 0
115 2 237 0
-34 215 -84 0
-199 -65 -288 0
205 8 258 0
109 -167 -162 0
-271 -77 -264 0
-292 -119 -231 0
259 -206 294 0
-127 158 -147 0
-1 221 249 0
-85 284 -114 0
-190 -209 -18 0
-205 74 42 0
-160 218 54 0
295 -209 -231 0
-160 86 -261 0
-7 17 288 0
121 -11 96 0
130 254 -72 0
76 -155 -180 0
-22 287 -285 0
58 242 -87 0
-199 -278 -129 0
-13 -170 147 0
133 -227 24 0
94 -92 -51 0
160 -56 -63 0
196 275 84 0
232 -86 -231 0
244 245 -144 0
-217 224 165 0
-94 -35 249 0
-265 8 -81 0
73 167 -285 0
-274 125 -132 0
16 14 -207 0
217 29 -165 0
82 -80 177 0
-67 -119 210 0
-289 197 -27 0
-211 125 210 0
-178 -119 -219 0
-295 203 -261 0
-79 -233 -210 0
-199 89 -168 0
-25 -8 -48 0
91 -125 60 0
-148 -290 -126 0
-289 158 42 0
106 14 282 0
238 107 -6 0
169 -170 -246 0
-181 -191 -258 0
-109 296 -234 0
280 38 -258 0
-67 275 18 0
-199 -14 252 0
-58 11 -27 0
289 152 279 0
274 -245 -180 0
292 269 75 0
-205 74 12 0
-229 128 153 0
-67 257 -291 0
-124 86 72 0
253 191 -93 0
-82 173 72 0
4 -293 111 0
-52 -281 27 0
-85 95 159 0
-217 -92 18 0
163 -236 102 0
70 8 -180 0
1 296 36 0
67 257 -69 0
-187 110 27 0
178 -62 -21 0
277 176 12 0
256 -23 171 0
-61 -203 294 0
280 275 264 0
97 -296 105 0
145 50 -243 0
-286 -5 174 0
172 299 24 0
-118 -23 -285 0
40 -266 -192 0
-118 -290 207 0
-43 59 -72 0
-76 -260 57 0
277 8 -270 0
-37 62 -201 0
-25 65 51 0
220 -110 222 0
-34 -233 -300 0
43 -17 -21 0
226 47 -51 0
55 179 -138 0
-208 -134 240 0
-172 -137 6 0
76 -164 39 0
-1 11 -195 0
154 -80 24 0
16 -44 -174 0
220 -59 -231 0
-289 -53 183 0
133 227 -189 0
-1 -41 27 0
10 44 -15 0
-181 119 -6 0
262 257 177 0
274 8 297 0
112 275 66 0
-82 167 -180 0
-178 -62 102 0
289 287 -141 0
-37 239 -87 0
-187 179 -57 0
31 -287 -18 0
193 -293 -186 0
-256 -296 171 0
-229 -5 -27 0
229 275 99 0
271 -284 111 0
250 -131 213 0
67 83 210 0
-97 -149 -135 0
190 293 -291 0
-181 125 -30 0
256 143 171 0
40 251 108 0
55 233 120 0
-172 92 204 0
160 98 -117 0
-43 -83 -147 0
-262 -209 282 0
43 104 219 0
40 -251 -297 0
133 95 -168 0
25 185 147 0
181 281 153 0
-67 188 144 0
-298 92 117 0
-256 47 -39 0
-79 65 243 0
67 68 -231 0
-169 -92 -228 0
202 -239 252 0
-52 161 243 0
-163 2 276 0
52 278 -213 0
-190 293 264 0
217 -32 219 0
79 -194 117 0
-148 59 81 0
22 -98 -180 0
-10 -182 234 0
-121 134 -231 0
7 -128 -267 0
-181 296 267 0
172 119 -288 0
211 -41 51 0
-229 -95 -99 0
-85 284 -15 0
94 -110 -126 0
-79 -191 -87 0
115 98 -102 0
4 95 -261 0
-175 281 153 0
244 -203 -204 0
10 86 -207 0
196 -110 219 0
-238 -278 63 0
22 -158 -114 0
136 140 -36 0
-115 116 -39 0
-193 203 66 0
211 -56 294 0
-91 275 273 0
-34 293 147 0
133 116 39 0
190 107 -141 0
-298 -215 294 0
-193 143 291 0
211 47 294 0
298 -161 -33 0
-289 248 156 0
-28 -242 -117 0
-247 -230 42 0
-130 32 45 0
-295 -200 93 0
-181 -146 -255 0
226 -59 6 0
-40 -125 93 0
-274 -158 180 0
262 161 288 0
-112 -38 252 0
-70 -260 111 0
142 200 114 0
16 -266 -6 0
-175 122 -300 0
253 -239 105 0
169 278 -36 0
187 -179 -192 0
34 -230 201 0
151 -281 24 0
280 242 138 0
28 -98 -288 0
40 -119 168 0
166 -170 87 0
241 173 -258 0
-178 -41 12 0
-31 197 -6 0
-259 218 24 0
-232 206 258 0
73 -185 147 0
280 134 153 0
235 191 273 0
10 50 -204 0
-247 -41 96 0
-202 -197 -252 0
208 218 -33 0
-244 -203 -78 0
112 -56 -48 0
115 -242 87 0
55 59 -279 0
-160 17 255 0
103 35 162 0
-73 134 -249 0
-91 71 -189 0
-7 -149 -69 0
-181 -215 -225 0
7 -101 87 0
133 -110 -213 0
172 -263 186 0
-109 209 48 0
271 -164 204 0
-109 26 -291 0
46 11 -288 0
-217 20 201 0
79 248 261 0
-277 -116 186 0
37 -197 -72 0
-175 -35 -78 0
-46 17 21 0
-154 -215 -84 0
145 -116 294 0
-136 -20 201 0
-172 -17 -270 0
-1 -254 -90 0
-118 299 -285 0
-79 38 99 0
-67 -74 81 0
-169 -44 -99 0
-100 -293 192 0
-91 -122 60 0
292 -44 -204 0
-136 215 -189 0
-133 -107 120 0
178 -74 294 0
-109 110 -258 0
-19 -242 -234 0
274 -284 -18 0
34 23 -75 0
121 197 -39 0
-277 -77 30 0
109 -293 -159 0
226 86 -90 0
199 -263 -243 0
232 113 162 0
-55 224 42 0
-184 -278 288 0
31 -38 9 0
-163 65 -285 0
-193 -296 270 0
250 203 -42 0
244 -254 264 0
-58 -59 57 0
214 -146 135 0
211 50 -141 0
82 179 -192 0
-1 107 -213 0
-70 -116 -276 0
-139 116 -30 0
-133 74 213 0
202 179 195 0
-64 74 -141 0
-181 215 -15 0
-274 149 12 0
-211 -23 -300 0
76 -65 84 0
-175 176 294 0
-49 -17 180 0
-46 -251 -183 0
-205 -170 222 0
-10 44 -153 0
250 -188 -78 0
-106 -269 66 0
262 -143 -135 0
-148 179 -276 0
163 -293 -222 0
250 -188 -252 0
244 -8 -99 0
130 -296 144 0
-91 -164 -45 0
208 176 201 0
106 44 -249 0
-37 74 84 0
-7 -80 258 0
115 -38 270 0
217 254 135 0
-292 -248 33 0
55 53 36 0
-223 -194 150 0
127 -230 228 0
-76 -176 210 0
103 11 198 0
-13 -212 222 0
-1 35 -96 0
-73 -206 -69 0
-91 -182 -195 0
-247 -173 -54 0
-157 -197 -54 0
115 35 -120 0
286 -158 78 0
-223 -155 39 0
31 -74 -225 0
-199 -269 6 0
-31 -182 -141 0
61 -8 -96 0
-124 17 -159 0
232 134 -150 0
16 -233 -174 0
193 -14 -165 0
136 122 75 0
-271 203 -96 0
64 23 198 0
142 -233 -168 0
109 68 -9 0
61 86 -201 0
169 275 -108 0
274 -56 261 0
91 254 -126 0
-286 -80 162 0
241 -194 -9 0
136 -188 -231 0
-133 215 -180 0
100 -26 75 0
7 -113 -171 0
79 -278 27 0
-58 56 -42 0
208 239 -27 0
64 -146 156 0
97 281 -174 0
-229 194 75 0
-130 -215 171 0
175 -131 249 0
91 281 297 0
-127 -227 -108 0
202 170 291 0
49 122 123 0
13 152 -231 0
-112 296 -285 0
-16 44 222 0
-148 -182 -69 0
211 -293 189 0
133 -44 -165 0
-106 248 -246 0
253 266 78 0
-292 -179 -114 0
280 95 216 0
181 -131 -21 0
70 152 213 0
112 203 213 0
-157 107 72 0
-202 209 297 0
127 -152 -180 0
-124 -14 180 0
19 119 -192 0
-118 -11 -174 0
25 -266 -129 0
199 -107 -288 0
169 -35 -45 0
-25 -119 126 0
-250 -2 -123 0
-139 -266 -87 0
-235 239 -111 0
34 -20 84 0
13 140 -90 0
40 -41 -114 0
-64 62 246 0
106 167 -264 0
-193 -44 168 0
-139 224 171 0
271 35 39 0
238 -278 -9 0
34 167 84 0
-265 77 141 0
175 161 243 0
19 203 -252 0
-274 44 60 0
-238 -251 -249 0
-82 95 66 0
-268 -206 120 0
-289 263 -102 0
-142 -203 69 0
-46 170 -54 0
193 -266 177 0
205 227 -108 0
-190 230 -60 0
88 179 276 0
-247 14 -240 0
130 245 132 0
-40 32 -144 0
-61 -278 42 0
-208 41 207 0
61 8 -276 0
-169 41 -192 0
-61 -44 78 0
31 -227 -195 0
-241 -266 39 0
-241 218 300 0
-295 -218 111 0
145 -125 -75 0
160 -26 -138 0
82 -101 27 0
-103 -143 -168 0
7 200 -225 0
-214 92 -141 0
-19 -83 -51 0
25 77 249 0
-91 170 42 0
-64 68 21 0
7 -140 24 0
73 -2 -246 0
-145 -32 -72 0
-163 86 111 0
-37 287 -261 0
76 -59 195 0
253 236 174 0
79 167 -102 0
193 209 -297 0
-97 80 -171 0
-133 62 249 0
67 26 -288 0
-196 152 141 0
-208 -47 48 0
145 92 198 0
100 -8 -165 0
211 299 -288 0
-169 98 297 0
265 203 -39 0
-118 -29 57 0
-148 191 162 0
-178 152 -96 0
115 -173 -150 0
-106 104 -81 0
-160 299 216 0
-247 275 207 0
49 -275 78 0
286 29 -285 0
-28 68 201 0
-244 299 -156 0
229 74 129 0
73 -47 180 0
187 -248 -27 0
7 -38 -6 0
172 140 -270 0
-130 -32 237 0
196 -65 51 0
-43 230 -219 0
247 224 249 0
52 -167 -72 0
-199 89 132 0
-259 41 186 0
-286 -272 -114 0
-211 -218 45 0
-232 -8 -258 0
241 -233 159 0
-199 293 -144 0
55 122 33 0
199 -254 -84 0
82 125 -234 0
13 53 78 0
-160 -161 -177 0
193 -248 93 0
-199 110 108 0
175 -74 -156 0
-130 65 78 0
-124 -149 66 0
-43 -272 153 0
-139 -110 210 0
118 56 228 0
-196 -230 216 0
-76 -2 126 0
193 -146 267 0
283 260 -9 0
-139 137 -138 0
-172 299 21 0
61 -206 141 0
133 -185 48 0
-205 200 -144 0
-244 -56 15 0
-193 -152 -63 0
-262 44 -57 0
-67 269 24 0
289 -71 192 0
253 200 -246 0
166 104 21 0
199 -275 123 0
31 167 96 0
-52 14 -243 0
-127 -290 219 0
217 -269 282 0
79 -20 -120 0
106 287 123 0
91 290 -207 0
-88 185 249 0
-133 41 -6 0
70 -281 255 0
-133 263 36 0
190 -239 -192 0
175 -269 -21 0
163 -83 51 0
154 197 207 0
268 -104 -21 0
-220 35 213 0
-229 77 -189 0
-160 203 228 0
-64 176 231 0
22 -8 279 0
-91 -137 -237 0
-64 -170 57 0
205 -284 90 0
280 158 114 0
-250 275 30 0
-175 170 165 0
259 200 -45 0
4 173 180 0
100 -56 93 0
-136 95 -135 0
-178 161 -105 0
106 80 66 0
100 95 264 0
-88 26 -12 0
70 284 -99 0
109 38 -162 0
109 -2 -258 0
